"id","statistic","value","unit","formatted","as_of","topic","confidence","context","primary_source_publisher","primary_source_title","primary_source_url","primary_source_year","sources_json","report_urls","trend_note"
"ai-adoption-hr-orgs","Organizations using AI in HR","43","%","43%","2025","AI in Hiring","verified","Nearly half of organizations now use AI for HR tasks, a sharp acceleration in mainstream adoption.","SHRM","AI in HR (2025 Talent Trends)","https://www.shrm.org/topics-tools/research/2025-talent-trends/ai-in-hr","2025","[{""id"":""shrm-1jkz5"",""publisher"":""SHRM"",""title"":""AI in HR (2025 Talent Trends)"",""url"":""https://www.shrm.org/topics-tools/research/2025-talent-trends/ai-in-hr"",""year"":""2025""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026
https://airecruiter.co/blog/ta-market-map-2026","Up from 26% in 2024, a 65% year-over-year increase."
"ai-recruiting-support-share","AI-in-HR organizations using it for recruiting","51","%","51%","2025","AI in Hiring","verified","Among organizations that use AI in HR, just over half (51%) apply it to recruiting, the top HR use for AI. This is a conditional share within the 43% that use any AI in HR, not a share of all organizations.","SHRM","AI in HR (2025 Talent Trends)","https://www.shrm.org/topics-tools/research/2025-talent-trends/ai-in-hr","2025","[{""id"":""shrm-1jkz5"",""publisher"":""SHRM"",""title"":""AI in HR (2025 Talent Trends)"",""url"":""https://www.shrm.org/topics-tools/research/2025-talent-trends/ai-in-hr"",""year"":""2025""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"recruiters-increasing-ai","Recruiters planning to increase AI use","93","%","93%","2026","AI in Hiring","verified","Nearly all talent acquisition professionals intend to expand their AI usage as hiring pressure intensifies.","HR Dive","Recruiters increasing their AI usage as pressure to hire intensifies","https://www.hrdive.com/news/recruiters-increasing-their-ai-usage-as-pressure-to-hire-intensifies/809051","","[{""id"":""hr-dive-1t2ee"",""publisher"":""HR Dive"",""title"":""Recruiters increasing their AI usage as pressure to hire intensifies"",""url"":""https://www.hrdive.com/news/recruiters-increasing-their-ai-usage-as-pressure-to-hire-intensifies/809051""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026
https://airecruiter.co/blog/ta-market-map-2026",""
"recruiters-ai-prescreening","Recruiters increasing AI use for pre-screening","66","%","66%","2026","AI in Hiring","verified","Two in three recruiters plan to expand AI in pre-screening interviews specifically, the leading AI use case.","HR Dive","Recruiters increasing their AI usage as pressure to hire intensifies","https://www.hrdive.com/news/recruiters-increasing-their-ai-usage-as-pressure-to-hire-intensifies/809051","","[{""id"":""hr-dive-1t2ee"",""publisher"":""HR Dive"",""title"":""Recruiters increasing their AI usage as pressure to hire intensifies"",""url"":""https://www.hrdive.com/news/recruiters-increasing-their-ai-usage-as-pressure-to-hire-intensifies/809051""}]","https://airecruiter.co/blog/ta-market-map-2026
https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"talent-leaders-autonomous-agents","Talent leaders adding autonomous AI agents","52","%","52%","2026","AI in Hiring","verified","More than half of talent leaders plan to deploy autonomous AI agents on their teams this year, marking the move from copilots to agents.","Korn Ferry","Korn Ferry","https://www.kornferry.com/about-us/press/korn-ferry-research-unveils-top-talent-acquisition-trends-shaping-2026","","[{""id"":""korn-ferry-jq8ha"",""publisher"":""Korn Ferry"",""title"":""Korn Ferry"",""url"":""https://www.kornferry.com/about-us/press/korn-ferry-research-unveils-top-talent-acquisition-trends-shaping-2026""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"genai-workload-reduction","Workload cut for recruiters using GenAI","20","%","20%","2025","AI in Hiring","verified","Recruiters using generative AI report a 20% drop in workload, equivalent to recovering one full workday every week.","LinkedIn (Future of Recruiting 2025)","LinkedIn (Future of Recruiting 2025)","https://www.linkedin.com/business/talent/blog/talent-acquisition/future-of-recruiting-2025","","[{""id"":""linkedin-future-of-recruiting-2025-z3y17"",""publisher"":""LinkedIn (Future of Recruiting 2025)"",""title"":""LinkedIn (Future of Recruiting 2025)"",""url"":""https://www.linkedin.com/business/talent/blog/talent-acquisition/future-of-recruiting-2025""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026",""
"hiring-assistant-fewer-profiles","Fewer profiles reviewed with LinkedIn Hiring Assistant","81","%","81%","2026","AI in Hiring","verified","Recruiters using LinkedIn's Hiring Assistant review 81% fewer profiles to find a qualified match, showing the screening leverage of agentic tools.","LinkedIn (Talent Solutions)","LinkedIn (Talent Solutions)","https://business.linkedin.com/hire/hiring-assistant","","[{""id"":""linkedin-talent-solutions-23mrg"",""publisher"":""LinkedIn (Talent Solutions)"",""title"":""LinkedIn (Talent Solutions)"",""url"":""https://business.linkedin.com/hire/hiring-assistant""}]","https://airecruiter.co/blog/sourcing-landscape-2026
https://airecruiter.co/blog/ta-market-map-2026","Up from a 62% reduction cited by charter customers at the September 2025 launch."
"top-staffing-firms-ai-likelihood","Top staffing firms vs peers on AI use","4","x","4x","2026","AI in Hiring","verified","The highest-performing staffing firms are four times more likely to leverage AI than their peers, tying AI use to growth.","Bullhorn","Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements","https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements","","[{""id"":""bullhorn-i7jig"",""publisher"":""Bullhorn"",""title"":""Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements"",""url"":""https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
"high-growth-firms-ai-in-ats","High-growth firms using AI in their ATS","78","%","78%","2025","AI in Hiring","verified","Among staffing firms growing revenue more than 25%, 78% embed AI tools directly in their applicant tracking system.","Bullhorn","Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements","https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements","","[{""id"":""bullhorn-i7jig"",""publisher"":""Bullhorn"",""title"":""Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements"",""url"":""https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
"agencies-full-workflow-agentic-ai","Agencies with full-workflow agentic AI","10","%","10%","2026","AI in Hiring","verified","Only about one in ten agencies have implemented agentic AI across their entire workflow, signaling early-stage end-to-end automation.","Bullhorn","Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements","https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements","","[{""id"":""bullhorn-i7jig"",""publisher"":""Bullhorn"",""title"":""Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements"",""url"":""https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
"ai-human-time-to-hire-cut","Time-to-hire cut with AI screen plus human interview","40","%","40%","2026","Hiring Speed","reported","Combining AI screening with human-led final interviews is reported to cut time-to-hire by 40% while improving retention, though the figure lacks a confirmable primary study.","SelectSoftware Reviews","AI Recruiting Statistics","https://www.selectsoftwarereviews.com/blog/ai-recruiting-statistics","","[{""id"":""selectsoftware-reviews-uti7z"",""publisher"":""SelectSoftware Reviews"",""title"":""AI Recruiting Statistics"",""url"":""https://www.selectsoftwarereviews.com/blog/ai-recruiting-statistics""}]","https://airecruiter.co/blog/state-of-ai-recruiting-2026
https://airecruiter.co/blog/ta-market-map-2026",""
"median-time-to-fill","Median time to fill, nonexecutive roles","39","days","39 days","2026","Hiring Speed","verified","SHRM's benchmark for ordinary (nonexecutive) requisitions, the figure most hiring teams actually plan against. Executive roles run longer, at a median of 45 days.","SHRM","2025 Talent Acquisition Benchmarking Report","https://www.shrm.org/topics-tools/research/2025-recruiting-benchmarking","2025","[{""id"":""shrm-17puq"",""publisher"":""SHRM"",""title"":""2025 Talent Acquisition Benchmarking Report"",""url"":""https://www.shrm.org/topics-tools/research/2025-recruiting-benchmarking"",""year"":""2025""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026","Down from 44 days in 2025."
"technical-role-time-penalty","Technical roles take longer to fill","15","days","15 days","2026","Hiring Speed","verified","Technical roles take roughly 15 days longer to fill than business roles, a gap teams should budget for in headcount planning.","Ashby","Recruiting Operations Benchmarks: Talent Trends","https://www.ashbyhq.com/talent-trends-report/reports/recruiting-operations-benchmarks-talent-trends","","[{""id"":""ashby-1xx2w"",""publisher"":""Ashby"",""title"":""Recruiting Operations Benchmarks: Talent Trends"",""url"":""https://www.ashbyhq.com/talent-trends-report/reports/recruiting-operations-benchmarks-talent-trends""}]","https://airecruiter.co/blog/time-to-hire-benchmarks-2026",""
"top-firms-placement-under-10-days","Top-growth firms placing in under 10 days","56","%","56%","2026","Hiring Speed","verified","Over half of the fastest-growing staffing firms report average placement times under ten days, linking speed to growth.","Bullhorn","Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements","https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements","","[{""id"":""bullhorn-i7jig"",""publisher"":""Bullhorn"",""title"":""Bullhorn GRID Report: Staffing Firms Using AI See Stronger Growth, Faster Placements"",""url"":""https://www.bullhorn.com/news-and-press/press-releases/bullhorn-grid-report-staffing-firms-using-ai-see-stronger-growth-faster-placements""}]","https://airecruiter.co/blog/agency-benchmark-q2-2026",""
